,Price,Rooms,Area,Floor,Max_house_floor,balcony\loggia,Bathroom,Year built,Link
49,2600000,1,31,3,9,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_39et._2410617766
50,1700000,1,30.1,2,2,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_301m_22et._2394301653
51,2650000,1,34,3,10,балкон,раздельный,2009,https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_310et._2416961073
52,3990000,2,50.9,1,9,,раздельный,1986,https://www.avito.ru/perm/kvartiry/2-k._kvartira_509m_19et._2382341990
53,2700000,1,27.4,2,5,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_274m_25et._2372748536
54,3000000,2,42,1,3,,совмещенный,1965,https://www.avito.ru/perm/kvartiry/2-k._kvartira_42m_13et._2400382608
55,850000,1,13,2,5,,совмещенный,1976,https://www.avito.ru/perm/kvartiry/1-k._kvartira_13m_25et._2388762288
56,3200000,1,34.3,1,10,лоджия,совмещенный,2012,https://www.avito.ru/perm/kvartiry/1-k._kvartira_343m_110et._2379684128
57,4200000,2,49.7,10,10,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_497m_1010et._2362547122
58,5300000,3,67.4,1,9,лоджия,раздельный,1986,https://www.avito.ru/perm/kvartiry/3-k._kvartira_674m_19et._2377214251
59,3550000,1,45,7,18,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_45m_718et._2392116212
60,4500000,1,35,6,15,лоджия,совмещенный,1988,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_615et._2213872095
61,3070000,2,43.5,5,5,балкон,раздельный,1966,https://www.avito.ru/perm/kvartiry/2-k._kvartira_435m_55et._2341491415
62,4030000,2,43.6,7,9,лоджия,раздельный,1972,https://www.avito.ru/perm/kvartiry/2-k._kvartira_436m_79et._2329511531
63,4000000,1,38.7,10,10,лоджия,раздельный,2004,https://www.avito.ru/perm/kvartiry/1-k._kvartira_387m_1010et._2376861506
64,1850000,2,40.6,1,2,,раздельный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_406m_12et._2336104942
65,2150000,1,24,4,5,,совмещенный,1972,https://www.avito.ru/perm/kvartiry/1-k._kvartira_24m_45et._2377149134
66,3400000,1,38,2,16,балкон,совмещенный,2016,https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_216et._2392674977
67,4050000,2,45,3,5,балкон,совмещенный,1965,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_35et._2412027039
68,2100000,1,28.1,2,3,лоджия,совмещенный,1987,https://www.avito.ru/perm/kvartiry/1-k._kvartira_281m_23et._2402843867
69,3990000,2,50.9,1,9,,раздельный,1986,https://www.avito.ru/perm/kvartiry/2-k._kvartira_509m_19et._2382341990
70,1950000,1,21.3,1,9,,совмещенный,1978,https://www.avito.ru/perm/kvartiry/kvartira-studiya_213m_45et._2383445923
71,6974000,3,63,7,22,лоджия,совмещенный,2021,https://www.avito.ru/perm/kvartiry/3-k._kvartira_63m_722et._2351339882
72,4500000,1,33.6,17,25,лоджия,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_336m_1725et._2402025414
73,2990000,1,35,4,10,балкон,раздельный,1994,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_410et._2374351565
74,6800000,2,62.9,13,25,лоджия,совмещенный,2021,https://www.avito.ru/perm/kvartiry/2-k._kvartira_629m_1325et._2390145775
75,4500000,1,41,6,12,лоджия,совмещенный,1984,https://www.avito.ru/perm/kvartiry/1-k._kvartira_41m_612et._2402692376
76,2600000,1,29.8,3,5,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_298m_35et._2366533648
77,2300000,1,31,2,5,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_25et._2399000706
78,17900000,4,192.3,2,8,лоджия,раздельный,2003,https://www.avito.ru/perm/kvartiry/4-k._kvartira_1923m_28et._2343348232
79,9300000,3,62,18,25,,совмещенный,2011,https://www.avito.ru/perm/kvartiry/3-k._kvartira_62m_1825et._2408092851
80,2770000,2,44.2,4,5,балкон,раздельный,1973,https://www.avito.ru/perm/kvartiry/2-k._kvartira_442m_45et._2388330964
81,3370000,3,64,3,3,балкон,раздельный,1955,https://www.avito.ru/perm/kvartiry/3-k._kvartira_64m_33et._2388675907
82,3600000,2,46,5,9,лоджия,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_46m_59et._2421206090
83,4150000,2,51.1,9,9,,раздельный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_511m_99et._2354499462
84,4500000,2,52.4,10,10,,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_524m_1010et._2384159733
85,1690000,1,17.7,10,10,,совмещенный,1970,https://www.avito.ru/perm/kvartiry/kvartira-studiya_177m_25et._2421782178
86,4999990,3,69.1,6,10,балкон,раздельный,2001,https://www.avito.ru/perm/kvartiry/3-k._kvartira_691m_610et._2329101073
87,4300000,1,37.9,21,25,лоджия,совмещенный,2017,https://www.avito.ru/perm/kvartiry/1-k._kvartira_379m_2125et._2371998307
88,1450000,1,22,1,9,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_22m_19et._2232987067
89,3650000,3,57.2,5,5,балкон,совмещенный,1965,https://www.avito.ru/perm/kvartiry/3-k._kvartira_572m_55et._2427550791
90,1400000,1,14.2,5,5,,совмещенный,1983,https://www.avito.ru/perm/kvartiry/kvartira-studiya_142m_89et._2427072360
91,3300000,2,45,4,5,балкон,раздельный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_45et._2381358034
92,2200000,2,45.9,5,5,балкон,раздельный,1992,https://www.avito.ru/perm/kvartiry/2-k._kvartira_459m_55et._2375564806
93,4500000,3,60.1,3,9,лоджия,совмещенный,1975,https://www.avito.ru/perm/kvartiry/3-k._kvartira_601m_39et._2410442835
94,3600000,2,43.5,7,9,балкон,раздельный,1984,https://www.avito.ru/perm/kvartiry/2-k._kvartira_435m_79et._2349472543
95,2620000,2,45.8,3,5,балкон,раздельный,1975,https://www.avito.ru/perm/kvartiry/2-k._kvartira_458m_35et._2400434525
96,2000000,1,30,2,5,балкон,раздельный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_25et._2401272674
97,3100000,3,58,3,5,балкон,совмещенный,1964,https://www.avito.ru/perm/kvartiry/3-k._kvartira_58m_35et._2394304162
98,2840000,1,36.4,5,20,лоджия,совмещенный,2021,https://www.avito.ru/perm/kvartiry/1-k._kvartira_364m_520et._2362694949
99,3950000,2,43.8,2,5,балкон,раздельный,1970,https://www.avito.ru/perm/kvartiry/2-k._kvartira_438m_25et._2401626020
100,13500000,3,108,14,15,лоджия,совмещенный,2005,https://www.avito.ru/perm/kvartiry/3-k._kvartira_108m_1415et._2371944330
101,3390000,1,33,13,17,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_1317et._2370510616
102,1999999,1,30.7,4,5,,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_307m_45et._2384694203
103,13500000,3,108,14,15,лоджия,совмещенный,2005,https://www.avito.ru/perm/kvartiry/3-k._kvartira_108m_1415et._2371944330
104,3390000,1,33,13,17,лоджия,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_1317et._2370510616
105,1999999,1,30.7,4,5,балкон,раздельный,1980,https://www.avito.ru/perm/kvartiry/1-k._kvartira_307m_45et._2384694203
106,5800000,3,58.9,4,5,балкон,раздельный,1977,https://www.avito.ru/perm/kvartiry/3-k._kvartira_589m_45et._2417041351
107,4700000,2,51.3,7,10,,совмещенный,1989,https://www.avito.ru/perm/kvartiry/2-k._kvartira_513m_710et._2375783222
108,1100000,1,18,1,5,,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_18m_15et._1987622452
109,2100000,1,17,1,5,,совмещенный,1971,https://www.avito.ru/perm/kvartiry/kvartira-studiya_17m_35et._2372050926
110,3900000,2,49.3,6,9,лоджия,раздельный,1989,https://www.avito.ru/perm/kvartiry/2-k._kvartira_493m_69et._2375713288
111,3070000,2,44,1,5,,раздельный,1973,https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_15et._2408741360
112,4497000,2,52.8,6,9,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_528m_69et._2345974819
113,1999000,1,33,3,5,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_35et._2410109340
114,3350000,2,44.3,2,5,,совмещенный,1978,https://www.avito.ru/perm/kvartiry/2-k._kvartira_443m_25et._2391997928
115,3300000,2,43.5,3,9,лоджия,раздельный,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_435m_39et._2401272582
116,3400000,1,29.4,3,9,,совмещенный,,https://www.avito.ru/perm/kvartiry/kvartira-studiya_294m_69et._2417318659
117,3650000,3,54.9,7,14,,,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_549m_714et._2378879140
118,3750000,3,48,4,5,балкон,раздельный,1972,https://www.avito.ru/perm/kvartiry/3-k._kvartira_48m_45et._2376092845
119,4850000,3,56.3,7,9,лоджия,совмещенный,,https://www.avito.ru/perm/kvartiry/3-k._kvartira_563m_79et._2374429317
120,2600000,1,30.2,2,5,балкон,раздельный,1969,https://www.avito.ru/perm/kvartiry/1-k._kvartira_302m_25et._2369554026
121,2870000,2,38,2,5,,,,https://www.avito.ru/perm/kvartiry/2-k._kvartira_38m_25et._2347384489
122,2390000,1,34,6,16,балкон,совмещенный,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_616et._2410307268
123,2090000,2,40,6,9,балкон,раздельный,1979,https://www.avito.ru/perm/kvartiry/2-k._kvartira_40m_69et._2416941458
