,Price,Rooms,Area,Floor,Max_house_floor,balcony_or_loggia,Bathroom,Year_built,District,Link
112,5700000,3,60.2,14,25,лоджия,раздельный,2019.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_602m_1425et._2341862967
113,8500000,4,89.0,14,15,лоджия,раздельный,2021.0,Индустриальный,https://www.avito.ru/perm/kvartiry/4-k._kvartira_89m_1415et._2343121874
114,6900000,4,75.4,8,9,лоджия,раздельный,1981.0,Ленинский,https://www.avito.ru/perm/kvartiry/4-k._kvartira_754m_89et._2381238920
115,5100000,3,60.7,2,9,лоджия,раздельный,1977.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_607m_29et._2372995432
116,3600000,2,44.6,3,5,балкон,совмещенный,1962.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_446m_35et._2401815392
117,3500000,3,46.5,1,5,балкон,раздельный,1966.0,Дзержинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_465m_15et._2341786970
118,3200000,5,32.4,5,5,балкон,раздельный,1968.0,Ленинский,https://www.avito.ru/perm/kvartiry/5-k._kvartira_324m_55et._2373388150
119,5690000,2,50.4,5,13,лоджия,совмещенный,2021.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_504m_513et._2385420616
120,2520000,1,30.2,2,5,балкон,раздельный,1969.0,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_302m_25et._2369554026
121,2700000,1,38.0,4,10,лоджия,раздельный,2001.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_410et._2356139564
122,4800000,2,42.7,17,25,балкон,совмещенный,2022.0,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_427m_1725et._2316909541
123,1820000,2,37.4,5,5,балкон,совмещенный,1983.0,Кировский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_374m_55et._2349622119
124,2890000,1,35.0,6,18,лоджия,совмещенный,2016.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_618et._2380655329
125,4870100,4,81.2,10,10,лоджия,раздельный,1989.0,Индустриальный,https://www.avito.ru/perm/kvartiry/4-k._kvartira_812m_1010et._2365578498
126,9700000,3,77.0,9,20,лоджия,раздельный,2018.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_77m_920et._2272125370
127,2990000,2,46.0,3,5,балкон,совмещенный,1965.0,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_46m_35et._2349204133
128,2150000,1,27.4,6,9,балкон,совмещенный,1992.0,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_274m_69et._2386640644
129,4500000,2,43.5,6,9,лоджия,раздельный,1979.0,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_435m_69et._2325120482
130,3370000,1,35.4,10,10,балкон,раздельный,1993.0,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_354m_1010et._2302973958
131,8999000,3,73.8,7,17,балкон,совмещенный,2013.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_738m_717et._2341803747
132,2750000,1,42.0,5,17,балкон,раздельный,2012.0,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_42m_517et._2387495645
133,4594000,1,41.4,14,17,лоджия,раздельный,1987.0,Ленинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_414m_1417et._2421000273
134,3930000,3,61.2,5,5,балкон,совмещенный,1971.0,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_612m_55et._2341721315
135,4300000,3,61.0,9,9,балкон,раздельный,1976.0,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_61m_99et._2349191611
136,3500000,1,38.2,5,5,лоджия,раздельный,2008.0,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_382m_55et._2371070081
137,3150000,1,32.0,14,17,лоджия,совмещенный,2016.0,Кировский,https://www.avito.ru/perm/kvartiry/kvartira-studiya_32m_1417et._2407621711
