,Price,Rooms,Area,Floor,Max_house_floor,balcony\loggia,Bathroom,Year built,District,Link
43,4800000,2,62.4,7,16,лоджия,раздельный,2014,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_624m_716et._2394230317
44,18480000,4,136,4,10,лоджия,совмещенный,2006,Ленинский,https://www.avito.ru/perm/kvartiry/4-k._kvartira_136m_410et._2383564482
45,3000000,1,31,2,5,балкон,совмещенный,1961,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_25et._2419044744
46,1999000,1,37,1,9,лоджия,совмещенный,1994,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_37m_19et._2140194794
47,5700000,3,72,4,9,лоджия,совмещенный,1981,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_72m_49et._2411195063
48,8890000,2,61.6,3,25,лоджия,совмещенный,2017,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_616m_325et._2385077352
49,2400000,1,32.3,4,5,балкон,совмещенный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_323m_45et._2385428670
50,3050000,1,34,1,10,,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_110et._2421261649
51,9000000,3,78,14,25,,совмещенный,,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_78m_1425et._2360561191
52,2900000,2,50.1,3,17,лоджия,совмещенный,,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_501m_317et._2401570982
53,4050000,1,36.2,4,17,лоджия,совмещенный,2019,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_362m_417et._2426857306
54,4350000,2,52,1,3,балкон,совмещенный,2011,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_13et._2265527837
55,2890000,2,30,3,5,,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_30m_35et._2310654869
56,9000000,3,78,14,25,,совмещенный,,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_78m_1425et._2360561191
57,3550000,2,41.3,5,5,балкон,совмещенный,1969,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_413m_55et._2373564441
58,6200000,3,62,3,9,лоджия,раздельный,,Ленинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_62m_39et._2377836064
59,3500000,1,35.6,14,14,лоджия,совмещенный,1978,Ленинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_356m_1414et._2421239889
60,2550000,1,30.3,4,5,,совмещенный,1961,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_303m_45et._2424561808
61,1200000,1,13,5,5,,совмещенный,1984,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_13m_55et._2373531241
62,3830000,4,61.4,5,5,балкон,раздельный,1972,Индустриальный,https://www.avito.ru/perm/kvartiry/4-k._kvartira_614m_55et._2345668440
63,18480000,4,136,4,10,,,,Ленинский,https://www.avito.ru/perm/kvartiry/4-k._kvartira_136m_410et._2383564482
64,3500000,4,61,2,5,балкон,раздельный,,Свердловский,https://www.avito.ru/perm/kvartiry/4-k._kvartira_61m_25et._1270062275
65,3692000,1,40,3,20,лоджия,совмещенный,2017,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_320et._2385346375
66,5700000,3,79.1,5,12,лоджия,совмещенный,1975,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_791m_512et._2402822003
67,2460000,1,31,2,5,балкон,совмещенный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_25et._2402669910
68,от3500000,,,,,,,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/auktsion_1-k._kvartira_427m_1316et._2442405720
69,1560000,1,18,3,9,,совмещенный,,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_18m_39et._2391338749
70,3650000,1,35,2,5,балкон,совмещенный,1982,Ленинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_25et._2366512380
71,4500000,2,52.9,3,9,лоджия,раздельный,1986,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_529m_39et._2383144941
72,1880000,1,30.5,2,5,,совмещенный,,Кировский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_305m_25et._2417704764
73,2600000,2,47.1,5,5,балкон,раздельный,1999,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_471m_55et._2373427244
74,2000000,1,30.3,2,5,балкон,раздельный,1980,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_303m_25et._2367670198
75,3000000,1,38,7,10,лоджия,раздельный,2002,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_710et._2391922828
76,3700000,2,45,3,5,,совмещенный,,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_35et._2426123170
77,6400000,2,55.5,14,17,балкон,раздельный,2006,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_555m_1417et._2386995961
78,2350000,1,35.6,2,2,,совмещенный,1958,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_356m_22et._2424752681
79,3090000,1,34.3,8,10,балкон,раздельный,1992,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_343m_810et._2375626550
80,1650000,1,18,2,5,,совмещенный,,Дзержинский,https://www.avito.ru/perm/kvartiry/kvartira-studiya_18m_25et._2414654786
81,5000000,2,53,9,10,лоджия,раздельный,2008,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_53m_910et._2387701623
82,3750000,2,42.9,5,5,балкон,совмещенный,,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_429m_55et._2311200053
83,2700000,1,32.4,4,5,,совмещенный,1961,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_324m_45et._2367800928
84,2520000,1,35.3,1,5,,совмещенный,1963,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_353m_15et._2379210715
85,3899000,2,50.9,1,9,,раздельный,1986,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_509m_19et._2382341990
86,4100000,2,53,5,10,,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_53m_510et._2411285791
87,8300000,3,91.9,7,25,лоджия,раздельный,,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_919m_725et._2418867890
88,3500000,2,44.7,3,5,балкон,раздельный,1967,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_447m_35et._2410929435
89,2990000,2,44.2,4,5,балкон,совмещенный,,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_442m_45et._2401218300
90,2600000,1,33.3,4,10,лоджия,совмещенный,,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_333m_410et._2414265965
91,3800000,2,50.5,9,10,лоджия,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_505m_910et._2400910079
92,1350000,1,17,1,9,,,,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_17m_19et._2384688644
93,5000000,3,80,4,5,балкон,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_80m_45et._2258936639
94,1900000,3,60,5,5,балкон,раздельный,1972,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_60m_55et._2429591411
95,2550000,1,30.6,5,5,,совмещенный,1963,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_306m_55et._2393042901
96,4300000,3,81.4,2,3,,раздельный,1955,Кировский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_814m_23et._2416833532
97,4580000,3,60,3,5,,,,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_60m_35et._2385585559
98,4679000,2,54,4,10,лоджия,раздельный,1998,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_54m_410et._2353000184
99,4550000,2,43.4,5,9,лоджия,совмещенный,1984,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_434m_59et._2374973335
100,3290000,3,61.4,3,10,лоджия,совмещенный,1989,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_614m_310et._2372102253
101,1550000,1,17,4,5,,совмещенный,,Индустриальный,https://www.avito.ru/perm/kvartiry/kvartira-studiya_17m_45et._2401435761
102,2650000,1,26.6,2,4,лоджия,совмещенный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/kvartira-studiya_266m_24et._2286494624
103,2650000,1,26.6,2,4,лоджия,совмещенный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/kvartira-studiya_266m_24et._2286494624
104,3700000,2,43.3,1,5,,совмещенный,,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_433m_15et._2427969404
105,3500000,1,31,4,5,балкон,совмещенный,1970,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_45et._2341740358
106,4910000,3,67,1,9,,,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_67m_19et._2404796464
107,3850000,2,48.9,5,5,лоджия,раздельный,1989,Ленинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_489m_55et._2361455271
108,3700000,2,45.3,2,5,балкон,раздельный,,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_453m_25et._2420925713
109,4500000,1,46.8,15,17,лоджия,совмещенный,2010,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_468m_1517et._2401196193
110,18480000,4,136,4,10,лоджия,совмещенный,2006,Ленинский,https://www.avito.ru/perm/kvartiry/4-k._kvartira_136m_410et._2383564482
111,5300000,3,72,2,9,лоджия,раздельный,2018,Кировский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_72m_29et._2374640395
112,6390000,3,71.5,4,16,лоджия,раздельный,1985,Мотовилихинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_715m_416et._2341433363
113,3690000,2,51,2,5,лоджия,раздельный,1980,Кировский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_51m_25et._2261049322
114,3790000,2,49,4,5,балкон,совмещенный,1989,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_49m_45et._2401899024
115,1780000,2,41.7,4,5,балкон,совмещенный,,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_417m_45et._2381693987
116,1880000,1,30.3,8,9,,совмещенный,1983,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_303m_89et._2409612364
117,4800000,1,47.1,3,25,,совмещенный,,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_471m_325et._2253576560
118,2550000,1,29.1,3,9,балкон,совмещенный,1983,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_291m_39et._2399797277
119,4100000,1,40.5,7,17,балкон,совмещенный,2014,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_405m_717et._2319872242
120,5500000,3,63.7,6,9,лоджия,раздельный,1988,Ленинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_637m_69et._2307737738
121,3500000,2,42.3,3,5,,,,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_423m_35et._2429842711
122,6600000,3,74.3,4,19,лоджия,раздельный,,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_743m_419et._2409525582
123,19000000,3,87,16,17,,совмещенный,2016,Ленинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_87m_1617et._2380965928
124,6790000,3,73.3,9,10,,совмещенный,2012,Дзержинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_733m_910et._2374005731
125,2450000,1,27.7,4,5,балкон,раздельный,1963,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_277m_45et._2389426097
126,1600000,1,29.3,1,2,,совмещенный,,,https://www.avito.ru/perm/kvartiry/1-k._kvartira_293m_12et._2360364316
127,6950000,3,68,7,9,балкон,совмещенный,,Свердловский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_68m_79et._2417510128
128,2300000,2,44,2,3,балкон,совмещенный,,Орджоникидзевский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_23et._2381408517
129,3150000,2,44,1,5,,совмещенный,,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_15et._2385518921
130,3499000,3,54.4,1,5,,,,Кировский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_544m_15et._2365703810
131,2100000,1,21,6,9,,,,Свердловский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_21m_69et._2366674944
132,4920000,3,68.1,1,10,балкон,раздельный,1992,Индустриальный,https://www.avito.ru/perm/kvartiry/3-k._kvartira_681m_110et._2423972354
133,6900000,2,60,5,7,лоджия,совмещенный,,Ленинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_60m_57et._2407791045
134,2730000,1,35,11,14,лоджия,совмещенный,,Дзержинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_1114et._2376824458
135,7000000,2,75,3,18,лоджия,совмещенный,2007,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_75m_318et._2350558734
136,10650000,3,110.4,12,25,балкон,раздельный,2018,Дзержинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_1104m_1225et._2320403130
137,4150000,2,49,5,5,балкон,раздельный,1952,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_49m_55et._2252798527
138,3150000,2,42,2,5,,,,Свердловский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_42m_25et._2388929190
139,3500000,1,33.2,6,9,лоджия,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_332m_69et._2442182547
140,6730000,4,82.5,7,9,балкон,раздельный,,Свердловский,https://www.avito.ru/perm/kvartiry/4-k._kvartira_825m_79et._2394943746
141,6100000,3,69.9,4,5,балкон,раздельный,1942,Ленинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_699m_45et._2319523958
142,4599000,2,55,5,5,балкон,совмещенный,1952,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_55m_55et._2386462380
143,6300000,2,84,5,9,,раздельный,2000,Дзержинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_84m_59et._2122910268
144,4000000,3,56.1,3,5,балкон,совмещенный,1962,Ленинский,https://www.avito.ru/perm/kvartiry/3-k._kvartira_561m_35et._2366144526
145,2950000,1,32,4,5,балкон,совмещенный,1965,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_45et._2410312404
146,2650000,1,32.7,12,12,лоджия,раздельный,1981,Мотовилихинский,https://www.avito.ru/perm/kvartiry/1-k._kvartira_327m_1212et._2367389616
147,2800000,1,36,1,5,,совмещенный,,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_36m_15et._2239876205
148,5100000,2,53.1,11,14,лоджия,раздельный,1980,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_531m_1114et._2407840231
149,2690000,2,38.5,4,5,балкон,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_385m_45et._2414113667
150,3450000,2,45.5,1,5,,раздельный,,Мотовилихинский,https://www.avito.ru/perm/kvartiry/2-k._kvartira_455m_15et._2387152361
151,2990000,1,38.1,5,9,лоджия,совмещенный,,Индустриальный,https://www.avito.ru/perm/kvartiry/1-k._kvartira_381m_59et._2389417020
152,4999000,2,51.8,5,10,лоджия,раздельный,2008,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_518m_510et._2384402641
153,3250000,2,44.5,3,5,,,,Индустриальный,https://www.avito.ru/perm/kvartiry/2-k._kvartira_445m_35et._2420656939
