,Price,Rooms,Area,Floor,Max_house_floor,Year_built,Link
54,2600000,2,40.0,1,2,1958,https://www.avito.ru/perm/kvartiry/2-k._kvartira_40m_12et._2410632334
55,5600000,2,52.0,3,9,1988,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_39et._2385373032
56,4000000,3,63.1,2,5,1963,https://www.avito.ru/perm/kvartiry/3-k._kvartira_631m_25et._2394463789
57,3499000,1,38.1,4,10,2005,https://www.avito.ru/perm/kvartiry/1-k._kvartira_381m_410et._2378107882
58,3100000,1,34.0,3,10,2006,https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_310et._2360368511
59,2160000,1,28.6,4,5,1965,https://www.avito.ru/perm/kvartiry/1-k._kvartira_286m_45et._2352814636
60,2850000,1,30.0,7,10,2011,https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_710et._2355599547
61,4600000,3,73.3,3,4,1958,https://www.avito.ru/perm/kvartiry/3-k._kvartira_733m_34et._2394612176
62,2750000,1,42.1,1,16,2021,https://www.avito.ru/perm/kvartiry/1-k._kvartira_421m_116et._2309073062
63,7700000,3,86.0,14,14,2019,https://www.avito.ru/perm/kvartiry/3-k._kvartira_86m_1414et._2329389998
64,2399000,1,30.9,4,5,1971,https://www.avito.ru/perm/kvartiry/1-k._kvartira_309m_45et._2393222188
65,2200000,2,39.2,1,2,1957,https://www.avito.ru/perm/kvartiry/2-k._kvartira_392m_12et._2393184884
66,4850000,1,47.0,2,25,2010,https://www.avito.ru/perm/kvartiry/1-k._kvartira_47m_225et._2109129674
67,4399000,3,66.6,1,12,1981,https://www.avito.ru/perm/kvartiry/3-k._kvartira_666m_112et._2361117203
68,3500000,3,43.1,5,5,1964,https://www.avito.ru/perm/kvartiry/3-k._kvartira_431m_55et._2372172292
69,3350000,2,49.6,5,12,1980,https://www.avito.ru/perm/kvartiry/2-k._kvartira_496m_512et._2382086793
70,6550000,2,51.0,4,25,2018,https://www.avito.ru/perm/kvartiry/2-k._kvartira_51m_425et._2348697555
71,3650000,3,54.9,7,14,1981,https://www.avito.ru/perm/kvartiry/3-k._kvartira_549m_714et._2378879140
72,6550000,3,64.5,8,10,1994,https://www.avito.ru/perm/kvartiry/3-k._kvartira_645m_810et._2317414530
73,3100000,1,31.0,4,5,1961,https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_45et._2372006142
74,2500000,1,32.0,2,5,1960,https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_25et._2347932361
75,3550000,1,37.0,4,10,1994,https://www.avito.ru/perm/kvartiry/1-k._kvartira_37m_410et._2326653998
76,3765000,1,40.0,2,23,2017,https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_223et._2417371346
77,3999000,4,61.0,4,5,1966,https://www.avito.ru/perm/kvartiry/4-k._kvartira_61m_45et._2336853466
78,2800000,1,30.0,3,5,1966,https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_35et._2380960052
79,3350000,2,44.0,4,5,1963,https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_45et._2371397260
80,3200000,2,40.4,4,5,1961,https://www.avito.ru/perm/kvartiry/2-k._kvartira_404m_45et._2384558365
81,9850000,3,98.0,11,15,2015,https://www.avito.ru/perm/kvartiry/3-k._kvartira_98m_1115et._2371839489
82,2670000,2,37.7,4,5,1974,https://www.avito.ru/perm/kvartiry/2-k._kvartira_377m_45et._2402540644
83,2799000,1,34.5,2,9,1986,https://www.avito.ru/perm/kvartiry/1-k._kvartira_345m_29et._2315420201
84,2960000,1,33.0,5,5,1988,https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_55et._2392534290
85,2300000,2,46.3,3,5,1984,https://www.avito.ru/perm/kvartiry/2-k._kvartira_463m_35et._2269347438
86,5400000,3,66.6,1,9,1984,https://www.avito.ru/perm/kvartiry/3-k._kvartira_666m_19et._2393575196
87,1900000,2,44.6,3,5,1972,https://www.avito.ru/perm/kvartiry/2-k._kvartira_446m_35et._2306720295
88,4950000,2,50.1,9,20,2021,https://www.avito.ru/perm/kvartiry/2-k._kvartira_501m_920et._2365952120
89,2690000,1,36.2,5,5,1963,https://www.avito.ru/perm/kvartiry/1-k._kvartira_362m_55et._2340288301
90,5000000,3,68.6,3,9,1987,https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_39et._2334728953
91,4140000,3,46.5,2,5,1972,https://www.avito.ru/perm/kvartiry/3-k._kvartira_465m_25et._2397596386
92,3430000,1,31.7,5,5,1968,https://www.avito.ru/perm/kvartiry/1-k._kvartira_317m_55et._2348901930
93,3150000,3,56.5,1,5,1966,https://www.avito.ru/perm/kvartiry/3-k._kvartira_565m_15et._2412514359
94,1800000,2,35.5,8,9,1986,https://www.avito.ru/perm/kvartiry/2-k._kvartira_355m_89et._2377467968
95,4749000,2,43.4,8,25,2021,https://www.avito.ru/perm/kvartiry/2-k._kvartira_434m_825et._2281994710
96,2950000,2,44.0,1,5,1970,https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_15et._2373046731
97,2990000,1,40.2,1,16,2015,https://www.avito.ru/perm/kvartiry/1-k._kvartira_402m_116et._2391374722
98,3500000,1,37.2,4,4,2015,https://www.avito.ru/perm/kvartiry/1-k._kvartira_372m_44et._2067408733
99,4450000,2,52.7,8,10,2011,https://www.avito.ru/perm/kvartiry/2-k._kvartira_527m_810et._2334021900
100,3410000,2,45.0,2,5,1976,https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_25et._2371904378
101,1750000,1,17.5,2,5,1970,https://www.avito.ru/perm/kvartiry/kvartira-studiya_175m_45et._2391320721
102,3300000,3,59.1,6,9,1973,https://www.avito.ru/perm/kvartiry/3-k._kvartira_591m_69et._2333288663
103,8000000,3,86.8,6,10,2010,https://www.avito.ru/perm/kvartiry/3-k._kvartira_868m_610et._1957704611
104,3050000,1,30.4,5,5,1970,https://www.avito.ru/perm/kvartiry/1-k._kvartira_304m_55et._2312041393
105,4990000,4,83.0,8,9,1989,https://www.avito.ru/perm/kvartiry/4-k._kvartira_83m_89et._2383353276
106,2800000,2,37.4,9,9,1986,https://www.avito.ru/perm/kvartiry/2-k._kvartira_374m_99et._2364626414
107,1499999,1,18.0,4,9,1963,https://www.avito.ru/perm/kvartiry/kvartira-studiya_18m_25et._2421065139
108,3550000,2,43.0,5,5,1961,https://www.avito.ru/perm/kvartiry/2-k._kvartira_43m_55et._2319381562
109,6000000,1,38.1,4,31,2020,https://www.avito.ru/perm/kvartiry/1-k._kvartira_381m_431et._2316239315
110,4700000,2,58.4,6,12,1999,https://www.avito.ru/perm/kvartiry/2-k._kvartira_584m_612et._2378708914
111,5250000,3,75.3,1,5,1958,https://www.avito.ru/perm/kvartiry/3-k._kvartira_753m_15et._2362731440
112,7500000,3,72.0,9,21,2017,https://www.avito.ru/perm/kvartiry/3-k._kvartira_72m_921et._2311105807
113,2690000,1,32.0,3,5,1959,https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_35et._2396215974
114,5700000,2,52.0,13,25,2022,https://www.avito.ru/perm/kvartiry/2-k._kvartira_52m_1325et._2345468215
115,2850000,1,41.3,7,16,2015,https://www.avito.ru/perm/kvartiry/1-k._kvartira_413m_716et._2365093072
