,Price,Rooms,Area,Floor,Max_house_floor,Year_built,balcony_or_loggia_балкон,balcony_or_loggia_лоджия,Bathroom_раздельный,Bathroom_совмещенный,District_Дзержинский,District_Индустриальный,District_Кировский,District_Ленинский,District_Мотовилихинский,District_Орджоникидзевский,District_Свердловский
71,7700000,2,66.5,13,20,2018.0,0,1,1,0,0,0,0,0,0,0,1
72,5679000,2,60.2,5,14,1976.0,0,1,1,0,1,0,0,0,0,0,0
73,6000000,2,56.7,14,19,2013.0,0,1,1,0,0,0,0,0,0,0,1
74,3360000,2,43.7,2,9,1976.0,0,1,1,0,1,0,0,0,0,0,0
75,7450000,3,77.3,6,16,2014.0,0,1,1,0,0,1,0,0,0,0,0
76,9200000,3,67.8,11,25,2015.0,1,0,0,1,0,0,0,0,0,0,1
77,3150000,1,31.1,3,5,1977.0,1,0,1,0,1,0,0,0,0,0,0
78,2000000,1,25.5,1,5,1992.0,1,0,0,1,0,0,0,0,0,1,0
79,2400000,1,30.2,2,9,1981.0,1,0,0,1,0,1,0,0,0,0,0
80,7700000,3,65.0,23,24,2019.0,0,1,1,0,0,0,0,0,1,0,0
81,5500000,3,62.0,9,9,1985.0,0,1,1,0,0,0,0,0,0,0,1
82,3400000,1,37.4,9,17,2021.0,1,0,0,1,0,1,0,0,0,0,0
83,6750000,3,71.1,6,16,2000.0,0,1,0,1,0,0,0,0,1,0,0
84,8500000,3,98.0,6,25,2011.0,0,1,0,1,0,1,0,0,0,0,0
85,4680000,2,56.0,4,5,1978.0,0,1,1,0,0,1,0,0,0,0,0
86,3800000,2,54.8,8,14,1976.0,0,1,1,0,1,0,0,0,0,0,0
87,8700000,3,63.6,6,6,2019.0,0,1,0,1,0,0,0,1,0,0,0
88,3300000,1,33.0,1,6,2015.0,1,0,0,1,0,1,0,0,0,0,0
89,5299000,1,44.0,11,17,1987.0,0,1,0,1,0,0,0,1,0,0,0
90,8200000,3,60.2,19,25,2011.0,0,1,0,1,0,0,0,0,0,0,1
91,2799990,1,31.0,7,10,2011.0,0,1,0,1,1,0,0,0,0,0,0
92,2350000,1,31.0,3,5,1961.0,0,1,0,1,0,0,0,0,1,0,0
93,6390000,3,81.0,3,10,2006.0,0,1,0,1,1,0,0,0,0,0,0
94,5350000,3,74.3,16,19,2017.0,1,0,1,0,0,0,0,0,0,0,1
95,2800000,2,43.0,4,4,1960.0,1,0,0,1,0,1,0,0,0,0,0
96,3280000,3,60.6,5,5,1968.0,1,0,1,0,0,0,0,0,0,0,1
97,4760000,3,60.2,8,9,1972.0,0,1,0,1,0,0,0,0,0,0,1
98,2500000,1,29.8,3,5,1971.0,1,0,0,1,0,1,0,0,0,0,0
99,5500000,2,50.0,2,10,1989.0,0,1,0,1,0,0,0,0,0,0,1
100,2790000,1,30.4,2,6,1970.0,1,0,0,1,0,0,0,0,0,0,1
101,3960000,3,60.7,2,5,1967.0,1,0,1,0,0,0,0,0,1,0,0
